title,abstract
ris-assisted full duplex communication using zs-bf and signal alignment technique,"Reconfigurable intelligent surface-assisted full duplex (RIS-FD) communication is attracting attention because of its ability to solve the issue of spectrum crunch and improve signal strength in shadowing areas. However, its potential has not been exploited due to various interferences, like self-interference and loop-interference. This letter proposes a RIS-FD communication where the loop interference is mitigated by employing a zero steering beamforming (ZS-BF) technique. The proposed scheme also becomes effective by partitioning the single RIS into two parts to support simultaneous uplink and downlink communications. Additionally, the system has been examined under imperfect channel state information to make it more practical. Further, the closed-form analytical expressions of the outage probability, ergodic capacity, and energy efficiency are derived for the proposed scheme, as well as corroborated with simulation results. The comparative analysis and its results show that the proposed scheme yields superior outcomes compared to the existing work in the literature."
ergodic capacity of multi-tag ambient backscatter systems with hardware impairments,"This letter investigates the ergodic capacity of an ambient backscatter system (AmBS) that comprises an ambient source, a reader, and multiple tags under radio-frequency hardware impairments (RFHIs). The considered AmBS adopts a multi-tag selection scheme where a selected tag backscatters the ambient source’s RF signals to communicate with the reader. We assume that the ambient source and reader are fabricated using a low-cost hardware that results in residual RFHIs at these nodes. For this setup, we derive an accurate ergodic capacity expression by considering Nakagami- ${m}$ fading channels. We present numerical analysis to unveil the associated system performance gains."
meta supervised contrastive learning for few-shot open-set modulation classification with signal constellation,"In this work, we introduce a method for few-shot open-set modulation classification utilizing signal constellation diagrams, based on a Meta Supervised Contrastive Learning (MSCL) algorithm. MSCL combines the strengths of supervised contrastive learning and meta-learning to effectively amplify inter-class distinctions and reinforce intra-class compactness. The experimental results demonstrate that MSCL exhibits superior performance in both few-shot and open-set Automatic Modulation Classification (AMC) recognition. Code available at: https://github.com/jikuizhao/MSCL"
gambling on reconfigurable intelligent surfaces,"We consider multi-operator wireless networks where broadband reconfigurable intelligent surfaces (RISs) effectively cover the transmission bands of all operators. These RISs are supplied by a dedicated provider and dynamically leased on-demand to individual operators to support their transmissions. When an operator takes control of a RIS, it can adjust its phase-response to meet the requirements of its users. This sets the stage for a competitive scenario where operators vie for control of RISs. To address this competition, we introduce an auction format designed to efficiently allocate RISs to operators. Furthermore, we develop a multi-agent reinforcement learning environment to optimize operators’ bidding strategies, demonstrating its superiority over the heuristic dominant strategy of greedy bidding."
error probability of shadowed uav-to-ground channels with phase noise,"Unmanned aerial vehicle (UAV)-to-ground communication channels have been the focus of much research lately. This has led to the appearance of new UAV-to-ground channel models in the literature that incorporate both fading and shadowing. In this letter, we provide the mathematical framework for UAV-to-ground communications with imperfect phase recovery using these new channel models. This phase error can be mathematically modeled by Tikhonov and Gaussian distributions. We have obtained mathematical expressions in closed-form for calculating the average bit error rate (ABER) for both binary and quadrature phase-shift keying signals in addition to the average symbol error rate (ASER) for $M$ -ary phase-shift keying (MPSK) modulations under phase noise. Then, these expressions are validated by Monte Carlo simulations."
polar coded power domain non-orthogonal multiple access system: construction and optimization,"The generalized polarization phenomenon exists in non-orthogonal multiple access (NOMA) systems. This letter specifically focuses on two-user coding-NOMA systems, which provide a practical joint optimization solution for next-generation mobile communication. In this letter, we employ the finite code length normal approximation bound to establish the connection among error probabilities, power allocation, and code rate allocation in coding-NOMA systems. First, we formulate an optimization problem to minimize error probability, and another one to maximize energy efficiency under a given system error performance for practical scenarios. Then, we derive the relationship between optimal code rates and powers, and then compute suitable power scheme using an iterative algorithm. Finally, we optimize polar coded NOMA systems using polarization subchannels. The proposed optimization scheme exhibits only a 0.5dB deviation from the normal approximation bound at a block error rate of 10−3. Furthermore, the polar coded NOMA scheme outperforms low-density parity-check code (LDPC) coding."
learning-aided uav-cooperation reduces the age-of-information in wireless networks,"Unmanned aerial vehicles (UAVs) can enhance data collection for ground sensing nodes (SNs). Given the modest battery capacity of UAVs and the limited communication range of SNs, it is crucial to conceive efficient trajectory coordination for UAVs. However, existing studies simply decouple the joint trajectory planning policy of multiple UAVs into independent local policies, preventing their cooperation and hence limits the performance. Inspired by the observation that sharing messages among agents can promote their cooperation, we investigate the communication-assisted decentralized trajectory planning policy of multi-UAV wireless networks. Our goal is to minimize the overall energy consumption of UAVs and the average age of information of all SNs. To harness the encoded messages for learning a sophisticated policy, we conceive a communication-assisted distributed training and execution framework, and propose a communication-aided decentralized trajectory control algorithm. Our simulation results show that the proposed algorithm substantially outperforms the state-of-the-art deep reinforcement learning based methods, at a modest communication overhead."
coding-enhanced cooperative jamming for secret communication in fluid antenna systems,"This letter investigates the secret communication problem for a fluid antenna system (FAS)-assisted wiretap channel, where the legitimate transmitter transmits an information-bearing signal to the legitimate receiver, and at the same time, transmits a jamming signal to interfere with the eavesdropper (Eve). Unlike the conventional jamming scheme, which usually transmits Gaussian noise that interferes not only with Eve but also with the legitimate receiver, in this letter, we consider that encoded codewords are transmitted to jam Eve. Then, by employing appropriate coding schemes, the legitimate receiver can successfully decode the jamming signal and then cancel the interference, while Eve cannot, even if it knows the codebooks. We aim to maximize the secrecy rate through port selection and power control. Although the problem is non-convex, we show that the optimal solution can be found. Simulation results show that by using the FAS technique and the proposed jamming scheme, the secrecy rate of the system can be significantly increased."
irs-aided received signal strength localization using a wireless sensor network,"In this letter, we initially present a formulation of Received Signal Strengths (RSS) in a scenario involving one source (or emitter), one Intelligent Reflecting Surface (IRS), and a Wireless Sensor Network (WSN). To determine the source location based on RSS measurements, we carefully select IRS phases to simplify the relationship between them. Subsequently, we solve the resulting rather simple nonlinear equations using a Least Squares (LS) approach. The solution involves an initial estimation through a course search, followed by a Steepest-Descent (SD) recursion. Simulation results highlight the superior performance of SD compared to course search and some state-of-the-art RSS localization techniques in the literature."
efficient automatic composite-modulation classifier using cyclic-paw-print features,"A novel efficient automatic composite-modulation (CM) classification approach based on the cyclic-paw-print (CPP) features is introduced for future cognitive space communications. In the proposed new scheme, the new image representation of CM signals, a.k.a. CPP named after its biomimetic shape, is constructed from the normalized second-order cyclic-spectrum of the received CM signal. Then, the discrete cosine transform (DCT) is further applied to the obtained CPP matrix to extract the essential CM feature vector, which is further digested by use of linear discriminant analysis (LDA). Finally, the random forest (RF) is employed to identify the CM scheme of the received signal by taking the aforementioned CM feature vector as the corresponding attributes. Monte Carlo simulation results demonstrate that the proposed new scheme can greatly outperform the existing CM classifiers while the proposed scheme requires a low computational-complexity."
