title,abstract
a lightweight multiscale smoke segmentation algorithm based on improved deeplabv3+,"Fires not only cause devastating consequences for human life and property, but also lead to soil erosion in forests. Therefore, it is necessary to design a novel algorithm that can quickly monitor smoke from fires. Most existing smoke segmentation methods do not consider the segmentation accuracy of algorithms under limited computational resources. To address this research gap, this paper proposes a lightweight smoke segmentation algorithm based on DeepLabV3+ that achieves fast inference speed and high accuracy for different sizes smoke. To reduce the number of parameters, the feature extraction network of the DeeplabV3+ algorithm is replaced by MobileNetV2, which enhances the extraction ability of the algorithm in segment smoke images. Then, the Convolutional Block Attention Module (CBAM) is added to the encoder part to enhance the perception of the algorithm for small smoke and effectively alleviates smoke mis‐segmentation. Furthermore, a newly designed loss function is used in the network. The experimental results show that the proposed method has improved by 1.27% in Smoke IoU and 1.21% in mPA compared with other methods. The weight size has been reduced to 10.76% of the original DeepLabV3+, and the inference time is only 33.71ms. Therefore, it is a more suitable early fire detection algorithm for resource‐constrained environments."
feature ensemble network for medical image segmentation with multi‐scale atrous transformer,"Recent years have witnessed notable advancements in medical image segmentation through deep convolutional neural networks. However, a notable limitation lies in the local operation of convolution, which hinders the ability to fully exploit global semantic information. To overcome the challenges prevalent in medical image segmentation, the feature ensemble network with multi‐scale atrous transformer is proposed. At the core of the approach lies the multi‐scale contextual integration module, which is based on the multi‐scale atrous transformer and facilitates contextual integration of multi‐level features. To extract discriminative fine‐grained features of the target region, a hybrid attention mechanism that synergistically combines spatial and channel attention, thereby sharpening the model's focus on crucial target information within high‐level features, is incorporated. Additionally, the channel‐aware feature reconstruction module is introduced as an innovative component engineered to tackle feature similarity issues across different categories. This module performs feature reconstruction based on channel perception, effectively widening the feature gap between categories and enhancing the segmentation capability. It is worth mentioning that our approach surpasses the state‐of‐the‐art method using three benchmark datasets in medical image segmentation."
tmnio:triplet merged network with involution operators for improved few-shot image classification,"Few‐shot learning enables machines to learn efficiently from limited labelled data. However, existing few‐shot learning methods may perform poorly when there is a lack of sufficient samples, and may encounter problems such as domain shift or overfitting when applied to new domains or tasks. To address the issues of poor fitting and insufficient generalization ability in new domains, a new method called triplet merged network with involution operators (TMNIO) is proposed. This method employs dual encoders that extract common and distinctive features from the prototype network, thereby enhancing the model's feature extraction capability. To further improve this ability, the traditional convolutional kernels are replaced with involution operators, which not only reduce the parameter count but also enlarge the receptive field to better extract local feature information. Additionally, this method employs a two‐stage training strategy, where triplet loss is used in the first stage to train the model and enhance its robustness and generalization ability. Extensive experiments on the miniImageNet, Omniglot, and Caltech‐UCSD Birds‐200 (CUB) datasets have shown that our proposed method achieved significant improvements in both training speed and accuracy, particularly on the miniImageNet dataset, where it achieved an outstanding 10% performance improvement."
a novel efficient wildlife detecting method with lightweight deployment on uavs based on yolov7,"Efficient animal detection is essential for biodiversity protection. Unmanned aerial vehicles (UAVs) have been widely used because of their low costs and minimal environmental intrusion. However, using UAVs for practical animal detection poses two challenges: (a) the UAV's fly highly to avoid disturbing animals, resulting in small object detection problems; (b) the limited processing power of UAVs makes large state‐of‐the‐art (SOTA) methods (e.g., You Only Look Once V7, YOLOv7) difficult to deploy. This work proposes the WILD‐YOLO based on YOLOv7 to deal with the two problems. To detect small objects, WILD‐YOLO improves upon YOLOv7 by adding a small object detection head in the head part. To enable real‐time animal detection in field environments with UAVs, the lighten FasterNet and GhostNet have been used to significantly reduce the model size.  Compared to YOLOv7, WILD‐YOLO significantly reduces the number of parameters, making it suitable for lightweight deployment on UAVs. Additionally, comparisons with other lightweight models such as YOLOv7‐tiny, YOLOv5‐s, YOLOv4‐s and MobilenetV2 on the datasets are conducted. The experimental results demonstrate that this proposed WILD‐YOLO method outperforms other approaches and has great potential for effective detection of wildlife in complex environments encountered by UAVs."
fruit fast tracking and recognition of apple picking robot based on improved yolov5,"The article proposes a real‐time apple picking method based on an improved YOLOv5. This method accurately recognizes different apple targets on fruit trees for robots and helps them adjust their position to avoid obstructions during fruit picking. Firstly, the original BottleneckCSP module in the YOLOv5 backbone network is enhanced to extract deeper features from images while maintaining lightweight. Secondly, the ECA module is embedded into the improved backbone network to better extract features of different apple targets. Lastly, the initial anchor frame size of the network is adjusted to avoid recognizing apples in distant planting rows. The results demonstrate that this improved model achieves high accuracy rates and recall rates for recognizing various types of apple picking methods with an average recognition time of 0.025s per image. Compared with other models tested on six types of apple picking methods, including the original YOLOv5 model as well as YOLOv3 and EfficientDet‐D0 algorithms, our improved model shows significant improvements in mAP by 1.95%, 17.6%, and 12.7% respectively. This method provides technical support for robots' picking hands to actively avoid obstructions caused by branches during fruit harvesting, effectively reducing apple loss."
afcn: an attention-directed feature-fusion convnext network for low-voltage apparatus assembly quality inspection,"In the production of low‐voltage apparatus, assembly quality inspection is of great relevance for ensuring the final quality of the entire product. With the continuous improvement of production efficiency and people's requirements for production quality, traditional manual inspection methods can no longer meet the quality inspection requirements. In this paper, an Attention‐guided Feature‐fusion ConvNeXt Network (AFCN) for the automated visual inspection is proposed. By embedding the attention mechanism of the Coordinate Attention block into the residual channel of the ConvNeXt block, the position‐aware information and features of the low‐voltage apparatus images can be effectively captured to locate the quality problems. Then, an improved attention feature fusion module is adopted to merge the output features at different stages, which introduces a 3D non‐parameter attention SimAM block and adapts output accordingly. Therefore, this model can capture the key information of the feature map in a coordinated way in terms of channel and position, fully integrating multiscale features and obtaining contour texture information and semantic information of the low‐voltage apparatus. Experiments show the proposed approach can effectively classify defective and normal products."
cross-modal fusion encoder via graph neural network for referring image segmentation,"Referring image segmentation identifies the object masks from images with the guidance of input natural language expressions. Nowadays, many remarkable cross‐modal decoder are devoted to this task. But there are mainly two key challenges in these models. One is that these models usually lack to extract fine‐grained boundary information and gradient information of images. The other is that these models usually lack to explore language associations among image pixels. In this work, a Multi‐scale Gradient balanced Central Difference Convolution (MG‐CDC) and a Graph convolutional network‐based Language and Image Fusion (GLIF) for cross‐modal encoder, called Graph‐RefSeg, are designed. Specifically, in the shallow layer of the encoder, the MG‐CDC captures comprehensive fine‐grained image features. It could enhance the perception of target boundaries and provide effective guidance for deeper encoding layers. In each encoder layer, the GLIF is used for cross‐modal fusion. It could explore the correlation of every pixel and its corresponding language vectors by a graph neural network. Since the encoder achieves robust cross‐modal alignment and context mining, a light‐weight decoder could be used for segmentation prediction. Extensive experiments show that the proposed Graph‐RefSeg outperforms the state‐of‐the‐art methods on three public datasets. Code and models will be made publicly available at https://github.com/ZYQ111/Graph_refseg."
an effective screening of covid‐19 pneumonia by employing chest x‐ray segmentation and attention‐based ensembled classification,"Quick and accurate diagnosis of COVID‐19 is crucial in preventing its transmission. Chest X‐ray (CXR) imaging is often used for diagnosis, however, even experienced radiologists may misinterpret the results, necessitating computer‐aided diagnosis. Deep learning has yielded favourable results previously, but overfitting, excessive variance, and generalization errors may occur due to noise and limited datasets. Ensemble learning can improve predictions by using robust techniques. Therefore, this study, proposes two‐fold strategy that combines advanced and robust algorithms, including DenseNet201, EfficientNetB7, and Xception, to achieve faster and more accurate COVID‐19 detection. Segmented lung images were generated from CXR images using the residual U‐Net model, and two attention‐based ensemble neural networks were used for classification. The COVID‐19 radiography dataset was used to evaluate the proposed approach, which achieved an accuracy of 98.21%, 93.4%, and 89.06% for two, three, and four classes respectively which outperformed previous studies by a significant margin considering COVID, viral pneumonia, and lung opacity simultaneously. Despite the similarity in CXR images of COVID, pneumonia, and lung opacity, the proposed approach achieved 89.06% accuracy, demonstrating its ability to recognize distinguishable features. The developed algorithm is expected to have applications in clinics for diagnosing different diseases using X‐ray images."
a multidimensional fusion image stereo matching algorithm,"In response to the low matching accuracy of stereo matching algorithms in image regions with specular reflection, this paper proposes a multidimensional fusion stereo matching algorithm named MFANet. The algorithm embeds a multispectral attention module into the residual feature extraction network, utilizing two‐dimensional discrete cosine transforms to extract frequency features. In the pyramid pooling module, a coordinated attention mechanism is introduced to capture relevant positional information. In the cost aggregation part, the MFANet algorithm incorporates a three‐dimensional attention mechanism, focusing on the more important semantic information in high‐level features. By combining detailed information from low‐level features, semantic information from high‐level features, and contextual information, the algorithm generates features that are more conducive to disparity prediction. The MFANet algorithm is evaluated on three standard datasets (SceneFlow, KITTI2015, and KITTI2012). Experimental results demonstrate its robustness against specular reflection interference, accurate prediction of disparities in specular reflection pathological regions, and promising application prospects."
msfa: multi-stage feature aggregation network for multi-label image recognition,"Multi‐label image recognition (MLR) is a significant branch of image classification that aims to assign multiple categorical labels to each input. Previous research has focused on enhancing the learning of category‐related regional features. However, the potential impact of multi‐scale distributions in intra‐ and inter‐category targets on MLR tends to be neglected. Besides, semantic consistency for categories is restricted to be considered on single‐scale features, resulting in suboptimal feature extraction. To address the limitations of above, a Multi‐stage Feature Aggregation (MSFA) network is proposed. In MSFA, a novel local feature extraction method is suggested to progressively extract category‐related high‐resolution local features in both spatial and channel dimensions. Subsequently, local and global features are fused without additional up‐ and down‐sampling to enrich the scale diversity of the features while incorporating refined class‐specific information. Furthermore, a hierarchical prediction scheme for MLR is proposed, which generates classification confidence corresponding to different scales under hierarchical loss supervision. Consequently, the final output of the network comes from the joint prediction by the classifiers on multi‐scale features, ensuring a stronger feature extraction capability. The extensive experiments have been carried on VOC and MS‐COCO datasets, and the superiority of MSFA over existing mainstream methods has been verified."
