title,abstract,field,
Active Token Mixer,"The three existing dominant network families, i.e., CNNs, Transformers, and
MLPs, differ from each other mainly in the ways of fusing spatial contextual
information, leaving designing more effective token-mixing mechanisms at the
core of backbone architecture development. In this work, we propose an
innovative token-mixer, dubbed Active Token Mixer (ATM), to actively
incorporate flexible contextual information distributed across different
channels from other tokens into the given query token. This fundamental
operator actively predicts where to capture useful contexts and learns how to
fuse the captured contexts with the query token at channel level. In this way,
the spatial range of token-mixing can be expanded to a global scope with
limited computational complexity, where the way of token-mixing is reformed. We
take ATM as the primary operator and assemble ATMs into a cascade architecture,
dubbed ATMNet. Extensive experiments demonstrate that ATMNet is generally
applicable and comprehensively surpasses different families of SOTA vision
backbones by a clear margin on a broad range of vision tasks, including visual
recognition and dense prediction tasks. Code is available at
https://github.com/microsoft/ActiveMLP.",token mixing mechanism,
Enhancing Multi-modal and Multi-hop Question Answering via Structured Knowledge and Unified Retrieval-Generation,"Multi-modal multi-hop question answering involves answering a question by
reasoning over multiple input sources from different modalities. Existing
methods often retrieve evidences separately and then use a language model to
generate an answer based on the retrieved evidences, and thus do not adequately
connect candidates and are unable to model the interdependent relations during
retrieval. Moreover, the pipelined approaches of retrieval and generation might
result in poor generation performance when retrieval performance is low. To
address these issues, we propose a Structured Knowledge and Unified
Retrieval-Generation (SKURG) approach. SKURG employs an Entity-centered Fusion
Encoder to align sources from different modalities using shared entities. It
then uses a unified Retrieval-Generation Decoder to integrate intermediate
retrieval results for answer generation and also adaptively determine the
number of retrieval steps. Extensive experiments on two representative
multi-modal multi-hop QA datasets MultimodalQA and WebQA demonstrate that SKURG
outperforms the state-of-the-art models in both source retrieval and answer
generation performance with fewer parameters. Our code is available at
https://github.com/HITsz-TMG/SKURG.",question answering,
Effective classification of ECG signals using enhanced convolutional neural network in IOT,"In this paper, a novel ECG monitoring approach based on IoT technology is
suggested. This paper proposes a routing system for IoT healthcare platforms
based on Dynamic Source Routing (DSR) and Routing by Energy and Link Quality
(REL). In addition, the Artificial Neural Network (ANN), Support Vector Machine
(SVM), and Convolution Neural Networks (CNNs)-based approaches for ECG signal
categorization were tested in this study. Deep-ECG will employ a deep CNN to
extract important characteristics, which will then be compared using simple and
fast distance functions in order to classify cardiac problems efficiently. This
work has suggested algorithms for the categorization of ECG data acquired from
mobile watch users in order to identify aberrant data. The Massachusetts
Institute of Technology (MIT) and Beth Israel Hospital (MIT/BIH) Arrhythmia
Database have been used for experimental verification of the suggested
approaches. The results show that the proposed strategy outperforms others in
terms of classification accuracy.",ECG signal classification,
Incentivizing Federated Learning,"Federated Learning is an emerging distributed collaborative learning paradigm
used by many of applications nowadays. The effectiveness of federated learning
relies on clients' collective efforts and their willingness to contribute local
data. However, due to privacy concerns and the costs of data collection and
model training, clients may not always contribute all the data they possess,
which would negatively affect the performance of the global model. This paper
presents an incentive mechanism that encourages clients to contribute as much
data as they can obtain. Unlike previous incentive mechanisms, our approach
does not monetize data. Instead, we implicitly use model performance as a
reward, i.e., significant contributors are paid off with better models. We
theoretically prove that clients will use as much data as they can possibly
possess to participate in federated learning under certain conditions with our
incentive mechanism",federated learning,
Roadmap to Autonomous Surgery -- A Framework to Surgical Autonomy,"Robotic surgery has increased the domain of surgeries possible. Several
examples of partial surgical automation have been seen in the past decade. We
break down the path of automation tasks into features required and provide a
checklist that can help reach higher levels of surgical automation. Finally, we
discuss the current challenges and advances required to make this happen.",surgical automation,
Vision-and-Language Pretraining,"With the burgeoning amount of data of image-text pairs and diversity of
Vision-and-Language (V\&L) tasks, scholars have introduced an abundance of deep
learning models in this research domain. Furthermore, in recent years, transfer
learning has also shown tremendous success in Computer Vision for tasks such as
Image Classification, Object Detection, etc., and in Natural Language
Processing for Question Answering, Machine Translation, etc. Inheriting the
spirit of Transfer Learning, research works in V\&L have devised multiple
pretraining techniques on large-scale datasets in order to enhance the
performance of downstream tasks. The aim of this article is to provide a
comprehensive revision of contemporary V\&L pretraining models. In particular,
we categorize and delineate pretraining approaches, along with the summary of
state-of-the-art vision-and-language pretrained models. Moreover, a list of
training datasets and downstream tasks is supplied to further polish the
perspective into V\&L pretraining. Lastly, we decided to take a further step to
discuss numerous directions for future research.",vision-and-language pretraining,
Oracle-MNIST: a Dataset of Oracle Characters for Benchmarking Machine Learning Algorithms,"We introduce the Oracle-MNIST dataset, comprising of 28$\times $28 grayscale
images of 30,222 ancient characters from 10 categories, for benchmarking
pattern classification, with particular challenges on image noise and
distortion. The training set totally consists of 27,222 images, and the test
set contains 300 images per class. Oracle-MNIST shares the same data format
with the original MNIST dataset, allowing for direct compatibility with all
existing classifiers and systems, but it constitutes a more challenging
classification task than MNIST. The images of ancient characters suffer from 1)
extremely serious and unique noises caused by three-thousand years of burial
and aging and 2) dramatically variant writing styles by ancient Chinese, which
all make them realistic for machine learning research. The dataset is freely
available at https://github.com/wm-bupt/oracle-mnist.",oracle character recognition,
Video Demoireing with Relation-Based Temporal Consistency,"Moire patterns, appearing as color distortions, severely degrade image and
video qualities when filming a screen with digital cameras. Considering the
increasing demands for capturing videos, we study how to remove such
undesirable moire patterns in videos, namely video demoireing. To this end, we
introduce the first hand-held video demoireing dataset with a dedicated data
collection pipeline to ensure spatial and temporal alignments of captured data.
Further, a baseline video demoireing model with implicit feature space
alignment and selective feature aggregation is developed to leverage
complementary information from nearby frames to improve frame-level video
demoireing. More importantly, we propose a relation-based temporal consistency
loss to encourage the model to learn temporal consistency priors directly from
ground-truth reference videos, which facilitates producing temporally
consistent predictions and effectively maintains frame-level qualities.
Extensive experiments manifest the superiority of our model. Code is available
at \url{https://daipengwa.github.io/VDmoire_ProjectPage/}.",video demoireing,
Causal Discovery and Knowledge Injection for Contestable Neural Networks (with Appendices),"Neural networks have proven to be effective at solving machine learning tasks
but it is unclear whether they learn any relevant causal relationships, while
their black-box nature makes it difficult for modellers to understand and debug
them. We propose a novel method overcoming these issues by allowing a two-way
interaction whereby neural-network-empowered machines can expose the
underpinning learnt causal graphs and humans can contest the machines by
modifying the causal graphs before re-injecting them into the machines. The
learnt models are guaranteed to conform to the graphs and adhere to expert
knowledge, some of which can also be given up-front. By building a window into
the model behaviour and enabling knowledge injection, our method allows
practitioners to debug networks based on the causal structure discovered from
the data and underpinning the predictions. Experiments with real and synthetic
tabular data show that our method improves predictive performance up to 2.4x
while producing parsimonious networks, up to 7x smaller in the input layer,
compared to SOTA regularised networks.",causal discovery,
Encoder-Decoder Network with Guided Transmission Map: Architecture,"An insight into the architecture of the Encoder-Decoder Network with Guided
Transmission Map (EDN-GTM), a novel and effective single image dehazing scheme,
is presented in this paper. The EDN-GTM takes a conventional RGB hazy image in
conjunction with the corresponding transmission map estimated by the dark
channel prior (DCP) approach as inputs of the network. The EDN-GTM adopts an
enhanced structure of U-Net developed for dehazing tasks and the resulting
EDN-GDM has shown state-of-the-art performances on benchmark dehazing datasets
in terms of PSNR and SSIM metrics. In order to give an in-depth understanding
of the well-designed architecture which largely contributes to the success of
the EDN-GTM, extensive experiments and analysis from selecting the core
structure of the scheme to investigating advanced network designs are presented
in this paper.",image dehazing,
